instance, nopruning, dynamic, multitree, ktree, lines
cc.txt, 6.47, 4.97, 5.56, 6.02, 1.05
cc2.txt, 3605.49, 3623.24, 39.45, 3607.64, 4000
cc3.txt, 3603.34, 3619.67, 39.97, 3605.48, 3617.11
color2.txt, 2.9, 152.41, 2.36, 1281.58, 3647.37
date2.txt, 38.65, 3617.21, 15.62, 3637.46, 3645.35
date4.txt, 30.75, 3631.3, 72.43, 3631.89, 3641.34
date5.txt, 18.44, 3629.31, 5.12, 3627.63, 3639.37
date6.txt, 25.0, 3631.63, 191.38, 3625.73, 3637.37
datetime.txt, 3607.44, 3657.77, 1100.7, 3621.83, 3635.36
dec.txt, 2.15, 4000, 0.84, 3613.31, 3613.34
dollar.txt, 3633.48, 3631.75, 3637.61, 3611.53, 3611.3
dollar2.txt, 3631.76, 3629.45, 3633.78, 3609.24, 3629.22
domain.txt, 3627.82, 3625.84, 3631.58, 3607.43, 3603.44
ean.txt, 0.98, 0.96, 1.21, 1.08, 0.53
ein.txt, 3.0, 34.27, 1.17, 24.39, 67.78
email_simple.txt, 3625.46, 3625.69, 3607.83, 3609.21, 3631.26
grid.txt, 35.97, 13.27, 12.0, 34.8, 4.08
grid2.txt, 3631.44, 3621.71, 20.42, 3609.11, 3621.24
gstin.txt, 3627.77, 3617.56, 3605.43, 3611.43, 3649.38
hexa.txt, 23.08, 358.73, 9.57, 3055.43, 3647.33
iban.txt, 3629.96, 3613.6, 3631.68, 3637.87, 3645.37
iban_pt.txt, 3625.76, 3629.67, 3627.55, 3634.88, 3643.36
id2.txt, 0.4, 5.38, 0.52, 11.91, 75.16
id_ch.txt, 1679.0, 3625.64, 19.74, 3629.61, 3641.32
id_cl.txt, 126.57, 203.76, 2.71, 832.58, 3639.35
id_dk.txt, 6.33, 3625.61, 1.08, 3625.32, 3637.38
id_es.txt, 0.51, 215.69, 0.56, 862.57, 3635.33
id_es2.txt, 15.25, 3659.7, 1.96, 3621.45, 3633.33
id_fi.txt, 3629.66, 4000, 3625.58, 3619.17, 3631.32
id_kr.txt, 19.87, 3635.88, 1.62, 3615.19, 3622.42
id_mx.txt, 3625.17, 3631.77, 3621.81, 3617.09, 3617.46
id_pt.txt, 3623.62, 3637.57, 3619.65, 3617.16, 4000
id_se.txt, 6.08, 3635.57, 0.89, 3613.45, 3629.36
imei.txt, 342.16, 3631.75, 9.73, 3643.54, 3627.38
imeisv.txt, 3621.63, 3627.97, 59.56, 3639.94, 3625.35
ipv4.txt, 2725.46, 3623.36, 104.4, 3635.97, 3623.37
ipv6.txt, 3619.62, 3621.35, 3617.64, 3631.93, 3621.28
isbn.txt, 3617.6, 3619.32, 3615.51, 3629.39, 3619.36
isbn10.txt, 3615.48, 2774.52, 2396.3, 3627.2, 3617.34
mac.txt, 3613.7, 3631.22, 3613.51, 3623.78, 3615.35
pc_al.txt, 4.32, 801.51, 2299.79, 3621.47, 3613.31
pc_ca.txt, 3611.51, 3629.54, 3611.58, 3619.41, 3611.31
pc_lx.txt, 3.92, 3625.82, 30.54, 3615.4, 3609.33
pc_lx2.txt, 4.12, 3623.77, 5.14, 3611.82, 3629.13
pc_nl.txt, 1.81, 305.15, 1.0, 232.19, 1429.56
pc_pt.txt, 542.55, 3619.65, 6.41, 3605.64, 3627.46
pc_uk.txt, 3609.63, 3617.51, 3607.79, 3631.76, 3625.24
pc_us.txt, 0.18, 0.18, 0.18, 0.21, 0.17
pc_us2.txt, 3.54, 16.53, 0.68, 17.44, 69.79
pn_us.txt, 1045.08, 17.91, 4.04, 16.61, 427.45
signed.txt, 3607.58, 1878.53, 2158.46, 3629.61, 3623.3
ssn.txt, 22.31, 3615.58, 3.03, 3627.6, 428.73
time1.txt, 1.12, 12.94, 0.63, 350.69, 1458.88
time2.txt, 0.62, 3.05, 0.39, 2.59, 67.15
uuid.txt, 3631.27, 3653.05, 3604.77, 3623.92, 3621.3
vr_dk.txt, 11.77, 3613.51, 3.86, 3621.46, 3619.29
vr_es.txt, 2.05, 3666.87, 0.6, 3619.4, 3617.29
vr_fi.txt, 2.01, 3661.57, 0.76, 3617.51, 3615.33
vr_it.txt, 14.37, 3611.71, 4.2, 3615.62, 3613.34
vr_ke.txt, 3605.6, 3609.31, 1159.89, 3613.59, 3611.31
vr_no.txt, 1.47, 3607.6, 0.69, 3611.4, 3609.34
vr_pt.txt, 3693.13, 3605.62, 3603.09, 3607.35, 3607.27
vr_pt2.txt, 3603.57, 3603.35, 3.1, 3605.65, 3605.28
vr_uk.txt, 15.21, 3630.15, 1.1, 3603.6, 3603.34
